City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
299,Natagaima,CO,81.16,broken clouds,3.6206,-75.0941,Mi Hotel El Gran Palacio- Nury
301,Palmer,US,54.64,broken clouds,42.1584,-72.3287,Wedgewood Motel
302,Hai Duong,VN,69.8,clear sky,20.9333,106.3167,Hai Khanh Hotel
303,Aguimes,ES,63.66,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
304,Yaring,TH,78.33,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
305,Surat Thani,TH,75.18,moderate rain,9.1667,99.25,Suankafae Resort
307,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
308,Ritchie,ZA,78.01,clear sky,-29.038,24.6028,Riverside Country Club Modderrivier
309,Ukiah,US,46.85,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
312,Sao Joao Da Barra,BR,87.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
316,Isangel,VU,79.65,light rain,-19.55,169.2667,Tanna Lodge
317,Noumea,NC,75.18,light rain,-22.2763,166.4572,Hôtel Le Lagon
318,Arawa,PG,77.02,light rain,-6.2132,155.5367,Coastline Guest House
319,Pingliang,CN,56.62,clear sky,35.5392,106.6861,North Gate Hostel
320,Pangkalanbuun,ID,74.26,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
321,Roebourne,AU,85.08,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
324,Eydhafushi,MV,84.0,overcast clouds,5.1033,73.0708,Soneva Fushi
325,Maneadero,MX,63.03,clear sky,31.7167,-116.5667,Casa De Thompson
326,Amuntai,ID,74.1,overcast clouds,-2.4177,115.2494,Hotel Balqis
327,Kruisfontein,ZA,70.88,few clouds,-34.0033,24.7314,Oyster Bay House Rental
328,Port Blair,IN,80.64,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
329,Seoul,KR,51.19,clear sky,37.5683,126.9778,롯데호텔 서울
330,Barkhan,PK,78.87,overcast clouds,29.8977,69.5256,Sardar
331,Catumbela,AO,79.09,broken clouds,-12.4314,13.5472,Hotel Do Kamgamba
332,Touros,BR,85.33,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
333,Wurzen,DE,50.0,overcast clouds,51.3667,12.7333,Hotel Zur Post
334,Tautira,PF,81.39,light rain,-17.7333,-149.15,Pension Oaoa
