City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Twin Falls,US,42.3505,-114.6445,33.31,86,0,14.97,clear sky
224,Thompson,CA,55.7435,-97.8558,26.76,100,100,10.36,mist
225,Geraldton,AU,-28.7667,114.6,68.41,83,9,8.05,clear sky
226,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,40,10.36,light rain
227,Kaka,TM,37.3482,59.6143,68.04,42,100,7.61,overcast clouds
228,Kautokeino,NO,69.0125,23.0412,23.45,94,100,28.63,light snow
229,Irbeyskoye,RU,55.6428,95.4522,37.26,95,100,5.53,overcast clouds
230,Kannapolis,US,35.4874,-80.6217,68.74,72,0,10.36,clear sky
231,Copiapo,CL,-27.3667,-70.3333,58.69,32,0,5.48,clear sky
232,Koutiala,ML,12.3917,-5.4642,103.59,17,33,6.17,scattered clouds
233,Cabo San Lucas,MX,22.8909,-109.9124,68.5,80,16,3.76,few clouds
234,Urumqi,CN,43.801,87.6005,61.75,25,0,4.47,clear sky
235,New Norfolk,AU,-42.7826,147.0587,53.1,66,100,1.99,overcast clouds
236,Kantang,TH,7.4054,99.5156,75.13,95,100,3.53,overcast clouds
237,Cap Malheureux,MU,-19.9842,57.6142,79.47,85,74,4.0,broken clouds
238,Vestmannaeyjar,IS,63.4427,-20.2734,29.39,93,100,16.11,overcast clouds
239,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,70.52,33,0,1.68,clear sky
240,Safonovo,RU,55.15,33.2167,32.63,97,100,17.43,light snow
241,Middelburg,ZA,-25.7751,29.4648,71.92,44,0,7.85,clear sky
242,Pevek,RU,69.7008,170.3133,-24.83,100,70,4.99,broken clouds
243,Saldanha,ZA,-33.0117,17.9442,68.05,73,8,9.57,clear sky
244,Burns Lake,CA,54.2331,-125.7533,26.02,87,100,4.16,overcast clouds
245,Ixtapa,MX,20.7,-105.2,71.22,83,0,1.99,clear sky
246,Puri,IN,19.8,85.85,81.12,86,17,18.07,few clouds
247,Westport,US,41.1415,-73.3579,53.74,57,94,5.01,overcast clouds
248,Bonfim,BR,3.0833,-59.95,85.03,60,80,7.9,broken clouds
249,Mayo,US,38.8876,-76.5119,52.72,89,100,8.05,light rain
250,Leningradskiy,RU,69.3833,178.4167,-14.12,88,27,9.17,scattered clouds
251,Pacifica,US,37.6138,-122.4869,53.13,88,20,10.36,mist
252,Abrau-Dyurso,RU,44.69,37.59,45.86,76,71,10.29,broken clouds
253,Tuatapere,NZ,-46.1333,167.6833,53.28,87,100,13.56,overcast clouds
254,Ormara,PK,25.2088,64.6357,80.83,69,0,13.13,clear sky
255,Isla Mujeres,MX,21.2311,-86.731,84.25,72,0,19.64,clear sky
256,Nanortalik,GL,60.1432,-45.2371,34.75,79,99,3.89,overcast clouds
257,Gondanglegi,ID,-7.7479,112.0132,75.13,92,100,7.27,overcast clouds
258,Pila,PL,53.1515,16.7378,43.11,65,100,12.24,overcast clouds
259,Hervey Bay,AU,-25.2986,152.8535,74.97,74,3,13.65,clear sky
260,Paraiso,CR,9.8383,-83.8656,73.96,80,78,3.74,broken clouds
261,Evensk,RU,61.95,159.2333,17.26,87,100,12.82,overcast clouds
262,Maltahohe,NA,-24.8333,16.9833,78.22,11,0,15.19,clear sky
263,Ribeira Grande,PT,38.5167,-28.7,64.8,72,75,6.91,broken clouds
264,Bowen,AU,-20.0167,148.2333,76.28,79,15,9.69,few clouds
265,Kloulklubed,PW,7.0419,134.2556,75.7,75,55,5.32,broken clouds
266,Sitka,US,57.0531,-135.33,40.89,65,100,11.5,light rain
267,Lompoc,US,34.6391,-120.4579,61.59,81,0,27.0,clear sky
268,Bacalar,MX,18.6667,-88.3833,85.46,63,53,9.86,broken clouds
269,Alta Floresta,BR,-9.8756,-56.0861,73.22,100,100,2.3,light rain
270,Pitimbu,BR,-7.4706,-34.8086,84.79,69,96,11.77,overcast clouds
271,Neuquen,AR,-38.9516,-68.0591,66.09,52,0,5.75,clear sky
272,Sarangani,PH,5.4033,125.4636,80.46,80,100,12.01,overcast clouds
273,Ailigandi,PA,9.2333,-78.0167,80.4,83,80,2.59,broken clouds
274,Teya,RU,60.3778,92.6267,34.75,98,100,4.97,overcast clouds
275,Busayra,JO,30.7376,35.6078,79.25,9,24,4.97,few clouds
276,San Patricio,US,28.017,-97.5169,76.89,83,100,1.68,overcast clouds
277,Arcata,US,40.8665,-124.0828,43.66,70,0,0.0,clear sky
278,Bukama,CD,-9.2,25.85,83.77,74,47,1.66,scattered clouds
279,Polunochnoye,RU,60.8697,60.4153,28.26,87,100,7.25,overcast clouds
280,Nalut,LY,30.3333,10.85,98.47,7,2,21.23,clear sky
281,Dingle,PH,10.9995,122.6711,75.9,91,100,6.46,overcast clouds
282,Yei,SS,4.095,30.6779,88.95,34,78,4.29,broken clouds
283,Nakanojo,JP,36.5833,138.85,52.93,79,100,3.27,overcast clouds
284,Vao,NC,-22.6667,167.4833,76.06,87,100,8.43,light rain
285,Lavrentiya,RU,65.5833,-171.0,-7.51,91,87,9.55,overcast clouds
286,Bardsir,IR,29.9227,56.5743,72.46,10,100,9.31,overcast clouds
287,Madarounfa,NE,13.3087,7.156,106.03,8,81,3.78,broken clouds
288,Jalingo,NG,8.8833,11.3667,106.0,17,79,4.56,broken clouds
289,Port Macquarie,AU,-31.4333,152.9167,64.29,94,40,0.0,scattered clouds
290,Peniche,PT,39.3558,-9.3811,50.85,69,94,12.08,overcast clouds
291,Berezniki,RU,59.4152,56.8124,26.55,84,100,9.6,overcast clouds
292,Bend,US,44.0582,-121.3153,32.38,75,20,1.99,few clouds
293,Turukhansk,RU,65.8167,87.9833,31.73,97,100,14.03,light snow
294,Coihaique,CL,-45.5752,-72.0662,56.01,94,100,9.22,moderate rain
295,Caceres,ES,39.522,-6.3748,47.7,77,100,8.25,overcast clouds
296,Katumba,TZ,-9.2333,33.6167,70.63,90,86,0.81,light rain
297,Riyadh,SA,24.6877,46.7219,96.94,7,0,11.95,clear sky
298,Knysna,ZA,-34.0363,23.0471,65.8,69,92,3.6,overcast clouds
299,Natagaima,CO,3.6206,-75.0941,81.16,70,61,2.39,broken clouds
300,Aleksandrovka,UA,46.8383,32.7612,49.14,54,33,17.54,scattered clouds
301,Palmer,US,42.1584,-72.3287,54.64,43,75,3.0,broken clouds
302,Hai Duong,VN,20.9333,106.3167,69.8,68,3,5.28,clear sky
303,Aguimes,ES,27.9054,-15.4461,63.66,55,40,26.46,scattered clouds
304,Yaring,TH,6.8662,101.3689,78.33,87,98,5.86,overcast clouds
305,Surat Thani,TH,9.1667,99.25,75.18,100,75,0.0,moderate rain
306,Marzuq,YE,14.4,46.4667,81.3,16,0,4.81,clear sky
307,Alofi,NU,-19.0595,-169.9187,73.29,94,100,1.14,overcast clouds
308,Ritchie,ZA,-29.038,24.6028,78.01,19,0,19.1,clear sky
309,Ukiah,US,39.1502,-123.2078,46.85,88,0,0.0,clear sky
310,Vardo,NO,70.3705,31.1107,31.98,69,75,28.77,broken clouds
311,Chokwe,MZ,-24.5333,32.9833,97.02,26,1,3.67,clear sky
312,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,68,100,5.23,overcast clouds
